pg_id,title,author,year,fictionality,language,pages
36111,"Prophets of dissent; essays on Maeterlinck, Strindberg, Nietzsche, and Tolstoy.","Heller, Otto, 1863-1941.",1918,0,eng,
21153,"On the origin of the species by means of natural selection, or, The preservation of favoured races in the struggle for life.","Darwin, Charles, 1809-1882.",1869,0,eng,596.0
26226,The importance of being a wit : the insults of Oscar Wilde / compiled by Maria Leach.,"Wilde, Oscar, 1854-1900.",1997,0,eng,153.0
74588,"The boys of Columbia High on the diamond; or, Winning out by pluck / by Graham B. Forbes.","Forbes, Graham B.",1911,1,eng,227.0
28688,"The silver maple; a story of Upper Canada, by Marian Keith [pseud.] ...","MacGregor, Mary Esther Miller, 1876-1961.",1906,1,eng,
70793,The foundation of Einstein's theory of gravitation / by Erwin Freundlich; authorised English translation by Henry L. Brose ...; preface by Albert Einstein; introduction by H. H. Turner.,"Freundlich, Erwin, 1885-1964.",1922,0,eng,
21192,"The life and adventures of Santa Claus, by L. Frank Baum; with many pictures by Mary Cowles Clark.","Baum, L. Frank 1856-1919.",1902,1,eng,5.0
9001,Personal recollections of Joan of Arc : by the Sieur Louis de Conte (her page and secretary) / Freely translated out of the ancient French into modern English from the original unpublished manuscript in the national archives of France by Jean François Alden.,"Twain, Mark, 1835-1910.",1899,1,eng,
14992,"The life of Froude, by Herbert Paul.","Paul, Herbert W. 1853-1935.",1905,0,eng,454.0
8920,Light of Asia / Sir Edwin Arnold.,"Arnold, Edwin, Sir, 1832-1904.",1899,0,eng,239.0
9512,"The works of Edgar Allan Poe, in eight volumes with twenty-four photogravures ...","Poe, Edgar Allan, 1809-1849",1895,0,eng,
9930,"Groups of order p [superscript m] which contain cyclic subgroups of order p [superscript m-3], by Lewis Irving Neikirk.","Neikirk, Lewis Irving, 1873-",1905,0,eng,65.0
47790,"The poetical works of William Cowper. With life, and critical notice of his writings.","Cowper, William, 1731-1800.",1870,0,eng,2.0
20026,Fables for the frivolous : (with apologies to La Fontaine) / by Guy Wetmore Carryl ; with illustrations by Peter Newell.,"Carryl, Guy Wetmore, 1873-1904.",1899,0,eng,
20050,"Märchen der gebrüder Grimm, with notes, exercises, and vocabulary by Geroge E. Merkley ...","Grimm, Jacob, 1785-1863.",1903,0,ger,
23898,The old Christmas / by Washington Irving ; with illustrations by H. M. Brock.,"Irving, Washington, 1783-1859",1981,0,eng,34.0
28844,The souls of Black folk / W.E.B. Du Bois ; with an introduction by Donald B. Gibson ; and with notes by Monica M. Elbert.,"Du Bois, W. E. B. 1868-1963.",1996,0,eng,247.0
21256,"Travels through the south of France and in the interior of the provinces of Provence and Languedoc in the years 1807 and 1808 by a route never before performed, being along the banks of the Loire, the Isere and the Garonne through the greater part of their course.","Pinkney, Ninian, 1776-1825.",1809,0,eng,
9012,Mark Twain's burlesque autobiography.,"Twain, Mark, 1835-1910.",1977,0,eng,24.0
8629,Sir Nigel; boyhood of the commander of the White company.,"Doyle, Arthur Conan, Sir, 1859-1930.",1934,0,eng,
9699,Martin Chuzzlewit.,"Dickens, Charles, 1812-1870.",1868,0,eng,
60418,"New bed, by Edith Brill.","Brill, Edith, 1899-",1934,0,eng,3.0
61882,Kotipoluilta; pieniä kertoelmia.,"Lassinen, Emil.",1898,0,fin,
49470,"Con la pluma y con el sable,","Baroja, Pío, 1872-1956.",1921,0,spa,
74572,Presidential addresses and state papers.,"Roosevelt, Theodore, 1858-1919.",1904,0,eng,
8982,"Around the world in eighty days, by Jules Verne.","Verne, Jules, 1828-1905.",1920,0,eng,1.0
35394,The bridling of Pegasus; prose papers on poetry.,"Austin, Alfred, 1835-1913.",1967,0,eng,252.0
8811,"Captain Cook's journal during his first voyage round the world made in H.M. Bark ""Endeavour"", 1768-71 a literal transcrption of the original mss. with notes and introduction, edited by W.J.L. Wharton.","Cook, James, 1728-1779",1893,0,eng,
68302,"The new Larned History for ready reference, reading and research; the actual words of the world's best historians, biographers and specialists: a complete system of history for all uses, extending to all countries and subjects and representing the better and newer literature of history; the work of J.N. Larned.","Larned, J. N. 1836-1913.",1924,0,eng,
